"";"marca";"modelo";"precio_claro";"precio_personal";"dif_precio";"mas_caro";"met_pago_claro";"met_pago_personal";"link_claro";"link_personal"
"1";"Samsung";"Galaxy A15 128GB";292499;252999;-39500;"Claro";"Precio contado";"Precio contado";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a15-128gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a15-128gb-blue-black/f"
"2";"Samsung";"Galaxy A36 256GB";719999;739999;20000;"Personal";"Precio contado";"12 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a36-5g-256gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a36-5g-256-gb/f"
"3";"Samsung";"Galaxy A56 256GB";799999;884999;85000;"Personal";"Precio contado";"12 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a56-5g-256gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a56-5g-256-gb/f"
"4";"Samsung";"Galaxy A06 128GB";223999;201999;-22000;"Claro";"Precio contado";"Precio contado";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a06-128gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a06-128-gb-light-blue/f"
"5";"Samsung";"Galaxy A06 64GB";191999;189999;-2000;"Claro";"Precio contado";"12 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a06-64gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a06-64-gb/f"
"6";"Samsung";"Galaxy Z Fold6 512GB";3074999;4319999;1245000;"Personal";"Precio contado";"6 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-z-fold6-5g-512gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-zfold6-512-gb/f"
"7";"Samsung";"Galaxy Z Flip6 512GB";1972499;2649999;677500;"Personal";"Precio contado";"9 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-z-flip6-5g-512gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-zflip6-512-gb/f"
"8";"Samsung";"Galaxy A26 256GB";639999;664999;25000;"Personal";"12 cuotas en factura";"9 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a26-5g-256gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a26-5g-256-gb/f"
"9";"Samsung";"Galaxy A16 256GB";589999;504999;-85000;"Claro";"12 cuotas en factura";"12 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a16-5g-256gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a16-5g-256-gb/f"
"10";"Samsung";"Galaxy S24 FE 256GB";1499999;1599999;1e+05;"Personal";"12 cuotas en factura";"9 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s24-fan-edition-5g-256gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-s24fe-256-gb/f"
"11";"Samsung";"Galaxy S25 Ultra 512GB";2699999;2939999;240000;"Personal";"Pago en factura + tarjeta";"9 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s25-ultra-5g-512gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-s25-ultra-512-gb/f"
"12";"Samsung";"Galaxy S25 512GB";1999999;2009999;10000;"Personal";"Pago en factura + tarjeta";"9 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s25-5g-512gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-s25-512-gb/f"
"13";"Samsung";"Galaxy S25 Ultra 256GB";2399999;2709999;310000;"Personal";"Pago en factura + tarjeta";"9 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s25-ultra-5g-256gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-s25-ultra-256-gb/f"
"14";"Samsung";"Galaxy S25 256GB";1799999;1769999;-30000;"Claro";"Pago en factura + tarjeta";"9 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s25-5g-256gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-s25-256-gb/f"
"15";"Samsung";"Galaxy Z Fold5 256GB";1399999;3299999;1900000;"Personal";"12 cuotas en factura";"3 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-z-fold5-5g-256gb";"tienda.personal.com.ar/celulares/samsung/samsung-galaxy-z-fold5/f"
