"";"marca";"modelo";"precio";"met_pago";"link"
"1";"Samsung";"Galaxy A15 128GB";292499;"Precio contado";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a15-128gb"
"2";"Motorola";"Moto G15 128GB";229499;"Precio contado";"tienda.claro.com.ar/pdp/equipos/moto-g15-128gb"
"3";"Samsung";"Galaxy A36 256GB";719999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a36-5g-256gb"
"4";"Motorola";"Moto G05 64GB";195499;"Precio contado";"tienda.claro.com.ar/pdp/equipos/moto-g05-64gb"
"5";"Samsung";"Galaxy A56 256GB";799999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a56-5g-256gb"
"6";"Motorola";"Moto G04s 64GB";178499;"Precio contado";"tienda.claro.com.ar/pdp/equipos/moto-g04s-64gb"
"7";"Samsung";"Galaxy A06 128GB";223999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a06-128gb"
"8";"Motorola";"Moto G35 128GB";305999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/moto-g35-5g-128gb"
"9";"Samsung";"Galaxy A06 64GB";191999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a06-64gb"
"10";"TCL";"50 128GB";239999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/tcl-50-5g-128gb"
"11";"Motorola";"Moto G15 256GB";254999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/moto-g15-256gb"
"12";"Motorola";"Moto E14 64GB";130399;"Precio contado";"tienda.claro.com.ar/pdp/equipos/moto-e14-64gb"
"13";"Xiaomi";"Redmi 14C 256GB";319999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/xiaomi-redmi-14c-256gb"
"14";"Motorola";"Moto E15 64GB";151199;"Precio contado";"tienda.claro.com.ar/pdp/equipos/moto-e15-64gb"
"15";"Motorola";"Edge 50 256GB";755999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/motorola-edge-50-5g-256gb"
"16";"Samsung";"Galaxy Z Fold6 512GB";3074999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-z-fold6-5g-512gb"
"17";"Motorola";"Edge 50 Fusion 256GB";575999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/motorola-edge-50-fusion-5g-256gb"
"18";"Samsung";"Galaxy Z Flip6 512GB";1972499;"Precio contado";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-z-flip6-5g-512gb"
"19";"Apple";"iPhone 15 256GB";2474999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/apple-iphone-15-256gb"
"20";"Motorola";"Razr 50 Ultra 512GB";1424999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/motorola-razr-50-ultra-5g-512gb"
"21";"Apple";"iPhone 15 128GB";2174999;"Precio contado";"tienda.claro.com.ar/pdp/equipos/apple-iphone-15-128gb"
"22";"Motorola";"Razr 60 512GB";1309999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/motorola-razr-60-5g-512gb"
"23";"Motorola";"Razr 60 Ultra 1TB";1999999;"Pago en factura + tarjeta";"tienda.claro.com.ar/pdp/equipos/motorola-razr-60-ultra-5g-1tb"
"24";"Samsung";"Galaxy A26 256GB";639999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a26-5g-256gb"
"25";"Samsung";"Galaxy A16 256GB";589999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a16-5g-256gb"
"26";"Motorola";"Moto G24 128GB";289999;"12 cuotas en factura";"tienda.claro.com.ar/pdp/equipos/moto-g24-128gb"
