"";"marca";"modelo";"precio_claro";"precio_personal";"dif_precio";"mas_caro";"met_pago_claro";"met_pago_personal";"link_claro";"link_personal"
"1";"Motorola";"Moto G15 128GB";229499;249999;20500;"Personal";"Precio contado";"6/12 cuotas s/int. factura/tarjeta";"tienda.claro.com.ar/pdp/equipos/moto-g15-128gb";"tienda.personal.com.ar/celulares/motorola/motorola-moto-g15-128-gb/f"
"2";"Motorola";"Moto G05 64GB";195499;159999;-35500;"Claro";"Precio contado";"12 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/moto-g05-64gb";"tienda.personal.com.ar/celulares/motorola/motorola-moto-g05-64-gb/f"
"3";"Motorola";"Moto G04s 64GB";178499;264999;86500;"Personal";"Precio contado";"12 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/moto-g04s-64gb";"tienda.personal.com.ar/celulares/motorola/motorola-moto-g-04-s/f"
"4";"Motorola";"Moto G35 128GB";305999;399999;94000;"Personal";"Precio contado";"6/12 cuotas s/int. factura/tarjeta";"tienda.claro.com.ar/pdp/equipos/moto-g35-5g-128gb";"tienda.personal.com.ar/celulares/motorola/motorola-moto-g35-5g-128-gb/f"
"5";"Motorola";"Moto E14 64GB";130399;139999;9600;"Personal";"Precio contado";"6/12 cuotas s/int. factura/tarjeta";"tienda.claro.com.ar/pdp/equipos/moto-e14-64gb";"tienda.personal.com.ar/celulares/motorola/motorola-moto-e14/f"
"6";"Motorola";"Moto E15 64GB";151199;149999;-1200;"Claro";"Precio contado";"9 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/moto-e15-64gb";"tienda.personal.com.ar/celulares/motorola/motorola-moto-e15-64-gb/f"
"7";"Motorola";"Edge 50 256GB";755999;799999;44000;"Personal";"Precio contado";"12 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/motorola-edge-50-5g-256gb";"tienda.personal.com.ar/celulares/motorola/motorola-edge-50/f"
"8";"Motorola";"Edge 50 Fusion 256GB";575999;589999;14000;"Personal";"Precio contado";"12 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/motorola-edge-50-fusion-5g-256gb";"tienda.personal.com.ar/celulares/motorola/motorola-edge-50-fusion/f"
"9";"Motorola";"Razr 50 Ultra 512GB";1424999;1499999;75000;"Personal";"Precio contado";"9 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/motorola-razr-50-ultra-5g-512gb";"tienda.personal.com.ar/celulares/motorola/motorola-razr-50-ultra/f"
"10";"Motorola";"Moto G24 128GB";289999;269999;-20000;"Claro";"12 cuotas en factura";"9 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/moto-g24-128gb";"tienda.personal.com.ar/celulares/motorola/motorola-moto-g24/f"
"11";"Motorola";"Edge 50 Pro 512GB";1109999;1149999;40000;"Personal";"12 cuotas en factura";"9 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/motorola-edge-50-pro-5g-512gb";"tienda.personal.com.ar/celulares/motorola/motorola-edge-50-pro/f"
"12";"Motorola";"Moto G24 Power 128GB";299999;309999;10000;"Personal";"12 cuotas en factura";"12 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/moto-g24-power-128gb";"tienda.personal.com.ar/celulares/motorola/motorola-moto-g24-power/f"
"13";"Motorola";"Edge 50 Ultra 512GB";1299999;1499999;2e+05;"Personal";"12 cuotas en factura";"12 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/motorola-edge-50-ultra-5g-512gb";"tienda.personal.com.ar/celulares/motorola/motorola-edge-50-ultra/f"
"14";"Motorola";"Moto G75 128GB";459999;499999;40000;"Personal";"12 cuotas en factura";"12 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/moto-g75-5g-128gb";"tienda.personal.com.ar/celulares/motorola/motorola-moto-g-75-5g-128-gb/f"
"15";"Motorola";"Moto G85 256GB";549999;579999;30000;"Personal";"12 cuotas en factura";"12 cuotas s/int. tarjeta";"tienda.claro.com.ar/pdp/equipos/moto-g85-5g-256gb";"tienda.personal.com.ar/celulares/motorola/motorola-moto-g85-5g/f"
